Time,instant_load
2021/7/9 9:36:56,25.6028
2021/7/9 9:40:01,25.84385
2021/7/9 9:43:04,26.59984
2021/7/9 9:46:06,28.13049
2021/7/9 9:49:09,29.25954
2021/7/9 9:52:22,29.19383
2021/7/9 9:55:24,29.81436
2021/7/9 9:58:27,29.80192
2021/7/9 10:00:16,30.40567
2021/7/9 10:03:20,30.57617
2021/7/9 10:09:26,32.41671
2021/7/9 10:12:29,33.33893
2021/7/9 10:26:09,33.52773
2021/7/9 10:29:11,33.894
2021/7/9 10:32:13,34.1229
2021/7/9 10:35:17,33.86948
2021/7/9 10:38:22,34.03748
2021/7/9 10:41:24,30.615
2021/7/9 10:44:27,31.19782
2021/7/9 10:47:30,31.50662
2021/7/9 10:50:32,31.73939
2021/7/9 10:53:34,31.82524
2021/7/9 10:56:38,32.35268
2021/7/9 10:59:40,32.60374
2021/7/9 11:02:44,32.75592
2021/7/9 11:05:46,32.88869
2021/7/9 11:08:49,35.64705
2021/7/9 11:11:51,36.38195
2021/7/9 11:14:55,39.11024
2021/7/9 11:17:57,39.4978
2021/7/9 11:21:00,39.24477
2021/7/9 11:24:03,38.95304
2021/7/9 11:27:06,38.9512
2021/7/9 11:30:12,38.51511
2021/7/9 11:33:15,41.22911
2021/7/9 11:36:17,43.3375
2021/7/9 11:39:21,42.7366
2021/7/9 11:42:24,42.59547
2021/7/9 11:45:57,42.27114
2021/7/9 11:48:59,42.03087
2021/7/9 11:52:03,42.05473
2021/7/9 11:55:05,41.583
2021/7/9 11:58:09,40.64785
2021/7/9 11:59:53,40.3963
2021/7/9 12:02:56,40.38316
2021/7/9 12:19:47,34.66859
2021/7/9 12:22:50,35.1871
2021/7/9 12:25:53,34.94827
2021/7/9 12:34:25,35.58905
2021/7/9 12:37:28,37.08008
2021/7/9 12:40:32,36.94239
2021/7/9 12:43:35,37.50777
2021/7/9 12:47:54,37.93994
2021/7/9 12:50:56,40.52913
2021/7/9 12:54:01,39.85099
2021/7/9 13:00:07,39.55516
2021/7/9 13:03:10,38.9756
2021/7/9 13:06:14,38.0717
2021/7/9 13:09:16,37.90517
2021/7/9 13:13:22,34.15627
2021/7/9 13:16:24,34.03412
2021/7/9 13:19:28,33.60843
2021/7/9 13:22:31,33.07896
2021/7/9 13:25:36,33.74548
2021/7/9 13:28:39,34.52226
2021/7/9 13:29:47,34.76091
2021/7/9 13:32:52,35.4958
2021/7/9 13:36:13,36.3469
2021/7/9 13:39:19,36.8252
2021/7/9 13:42:22,39.37579
2021/7/9 13:45:33,38.46709
2021/7/9 13:48:44,38.31472
2021/7/9 13:51:46,37.24441
2021/7/9 13:54:49,37.16295
2021/7/9 13:57:52,37.47902
2021/7/9 14:00:55,35.90387
2021/7/9 14:04:01,36.90614
2021/7/9 14:07:03,36.66627
2021/7/9 14:10:06,37.09706
2021/7/9 14:16:12,37.97351
2021/7/9 14:16:59,37.98667
2021/7/9 14:23:04,38.95719
2021/7/9 14:29:09,39.57002
2021/7/9 14:32:12,39.62323
2021/7/9 14:35:16,39.23959
2021/7/9 14:38:18,39.40694
2021/7/9 14:41:21,39.64651
2021/7/9 14:44:24,39.86813
2021/7/9 14:47:27,39.82278
2021/7/9 14:49:49,39.72736
2021/7/9 14:52:51,39.70377
2021/7/9 14:55:54,39.41055
2021/7/9 14:58:56,39.2832
2021/7/9 15:01:59,38.90662
2021/7/9 15:05:05,36.18541
2021/7/9 15:08:08,36.70934
2021/7/9 15:11:11,37.27109
2021/7/9 15:14:13,37.57263
